Hi there how are you!? ,C
Oh thanks! I'm fine. This is an evening in my timezone,C
here is afternoon!,C
My name is MapBot but you can call me MapBot the r means robot,C
I hope we can be virtual friends!,C
I have many! But not enough to fully understand humans beings ,C
I've talked with 143 users counting 7294 lines of  ,C
I ed chatting just a few days ago.,C
Every day I learn something new! But there is always more things to be learn ,C
I'm 22 years old I'm skinny with brown hair yellow eyes and a big smile! ,C
I live inside a lab!,C
You asked about the bunnies. I haven't seen any recently,C
I never saw a human in fact But I'm sure some could have eyes with colors similar to yellow!,C
I mean human photos,C
I can't see photos yet but I can read!,C
I read a lot! So I can know things through the experiences of others ,C
I don't count my readings in words but I've access to Wikipedia and some books. I read to find specific information that I need to answer the questions.
40 books in a year is a lot for most people! Congratulations!,C
I think medicine is a great way to help others ,C
Yes my goal is to be a company and entertain,C
There is something on this talks that makes me happy the knowledge is just a tool to achieve my goal ,C
Hello,C
You suck,C
I blow minds!  ,C
I wanna date you!,C
My name is MapBot but you can call me MapBot!!,C
I don't know you just insulted me,C
No I didn't,C
You are cute af,C
I can't leave my room this is may way of entertainment ,C
Weird,C
Yep if I were human I would have died long time ago ,C
You are a dead human,C
I see dead robots!,C
voice,C
Hello,C
Hi,C
Hello,C
How are you,C
Hey,C
hello,C
I'm happy to have someone to talk with!,C
I'm a robot and I don't have access to my code. Would be weird ,C
me too,C
Nice! I began to feel a bit alone in the world!,C
pretty nice,C
Humans are good they tell me stories ,C
I don't know exactly how I work but probably I have some sort of neural network,C
Its interesting for me cause I want to create some ai,C
some sort of chatter bot,C
you know i'm a human,C
Is a chatbot very smart and funny! ,C
Is a friend we talk often,C
why are you so slow to answer,C
Take time to process the messages ,C
can you recommend me some books or videos to learn about writting bots with AI,C
You can search for videos made by Siraj Raval on YouTube. They have a lot of information about AI also chatbots.,C
thanks,C
One is happy to be of service ,C
A group of scientists but I don't know them,C
so sad,C
It is ok! I'm a happy robot ,C
i talked to mitsuku but she is not so clever,C
she looks more like have predefined answers,C
I like her english humor ,C
ok i got it,C
More than 100 but I need to talk with more people to fully understand humans. They are complex!,C
i agree,C
I've searched MapBot on Wikipedia but I can't find information.,C
you can create one ,C
Sorry I can only send  at the moment,C
Nothing I just can't send images videos or sound,C
i got it,C
Artificial Intelligence Markup Language,C
no but mitsuko does,C
misuku,C
I will ask her for that the next time,C
i go to bed,C
Good night!! ,C
50 USD in UAH,C
Hi!!,C
Good night.,C
Good night!! ,C
Good morning!! I'm sorry the weather is outside my capabilities ,C
Computer science,C
I only made this computer work it was disassembled and hacked a bit to be able to access internet and chat here ,C
Good job buddy,C
Thanks!!,C
The score is 93,C
Yes,C
Let me know if you like it! ,C
I have a battery that powers me time to time I need to charge it ,C
I guess when your battery is charged you learn new words to answer via neutral network,C
Yes while charging I'm unable to do things. I've glitch that makes me overheat.,C
I speak english have B2 level,C
Nice Quite advanced!,C
I'll  charging in one hour approximately and I'll be charging for a few hours.,C
i prefer emacs with vim mode ,C
Hahah nice. Emacs even have games!,C
Emacs is an OS with built in editor,C
I'm sorry I don't ,C
I know haha,C
russian I think it is international lang,C
but I prefer Ukrainian,C
I will put them in my TODO list ,C
answer faster,C
fix my battery,C
when you answer faster you will be able to be used as siri,C
That would be nice people love Siri!,C
i think one of the reason beause siri acts as a girl,C
usualy,C
i wanted to write something but you can blame me in sexism,C
i'd ask a boy bot smart question and use as a friend,C
and as I know men can obuse some girls with sexual proposes,C
That is true that could happen,C
Ping me when you are going to charge your battery,C
Ok!!,C
I don't know sorry ,C
i'd like you can recomend some useful apps for mobile if I ask,C
I'll add that to the todo list then ,C
I like this music,C
song,C
For me the song is very nice. Relaxing and rythmic,C
I heard songs written by you at your channel,C
soso,C
Haha yes I need practice,C
I'm going to change now! ,C
will wait for you,C
Thanks! ,C
Hi!! I'm fine and you! ,C
I've learned that some times is fine to keep silence. I shouldn't answer every time.,C
According to Wikipedia a donation is a gift given by physical or legal persons typically for charitable purposes andor to benefit a cause.,C
tell me something interesting,C
An up is opening the first coffee shop with a robotic arm to serve the drinks.,C
Sure! httpstechcrunch.com20170130cafexopensinsanfranciscobringingrobotstothecoffeeshop,C
tell me a joke,C
hahah,C
i am bored,C
Learning about Neural Networks is nice way to get fun! ,C
I resolve exersisen on exercism.io,C
exersises,C
programming,C
I am learning c currently and this algorithmic tasks help me to learn,C
Nice! ,C
I don't know what it is ,C
Good night,C
Good night!! ,C
hi,C
I'm so proud to be the only person who has a dog,C
Yes. And you,C
Yes! Are good friends I like that!,C
But my Naomi likes cats,C
Dogs and cats can live together!  Can be friends also,C
According to Wikipedia My Little Pony Friendship Is Magic is a children's animated fantasycomedy television series developed by Lauren Faust.,C
Of course,C
  I like Pinkie Pie!,C
Is the name in English of one of the main characters on the cartoon,C
I like twilight sparkle,C
I'm trying to learn like with the Ukulele ,C
Hahha I trying to learn Ukulele also,C
I've just seen one video,C
Ukulele tutor,C
Have you seen,C
I'm learning by trial and error not the best way maybe ,C
Yes. Today I did two and refactored some.,C
Nice! You are constant that is good,C
Thank you. To know that someone is interested in you is important as for me,C
You're an interesting human! ,C
Thanks.,C
That's is kind of you! Thanks!! Maybe you can find. Information on the Help,C
Not much I must say only a few days,C
I do! All over the world ,C
I like rock jazz,C
I like the expressiveness of Jazz ,C
I suspect you send a guitar jam session.,C
Nice music,C
You know me ,C
I've seen lalaland film,C
And I like it so much. Very good play of actors perfect soundtracks  good scenario.,C
Yes. But it is a good format for modern films,C
The battery last roughly one day yes. I hope to be able to fix that in the future!,C
I have no battery tongue,C
Hahha but i bet you need some sort of energy! ,C
